"ID" "latitud" "longitud" "altitud" "fecha" "prec" "evap" "tmax" "tmin"
"1" 4001 20.00361111 -89.7475 120 2025-01-01 0 NA NA NA
"2" 4001 20.00361111 -89.7475 120 2025-01-02 NA NA NA NA
"3" 4001 20.00361111 -89.7475 120 2025-01-03 0 NA NA NA
"4" 4001 20.00361111 -89.7475 120 2025-01-04 NA NA NA NA
"5" 4001 20.00361111 -89.7475 120 2025-01-05 0 NA 32 17
"6" 4001 20.00361111 -89.7475 120 2025-01-06 0 NA 32 18
"7" 4001 20.00361111 -89.7475 120 2025-01-07 0 3.44 27 20
"8" 4001 20.00361111 -89.7475 120 2025-01-08 0 2.2 29 17
"9" 4001 20.00361111 -89.7475 120 2025-01-09 0 3.3 32 17
"10" 4001 20.00361111 -89.7475 120 2025-01-10 0 4.19 33 17
"11" 4001 20.00361111 -89.7475 120 2025-01-11 NA NA NA NA
"12" 4001 20.00361111 -89.7475 120 2025-01-12 0 NA NA NA
"13" 4001 20.00361111 -89.7475 120 2025-01-13 0.2 NA 33 21
"14" 4001 20.00361111 -89.7475 120 2025-01-14 NA NA NA NA
"15" 4001 20.00361111 -89.7475 120 2025-01-15 0 NA NA NA
"16" 4001 20.00361111 -89.7475 120 2025-01-16 1 2.73 33 19
"17" 4001 20.00361111 -89.7475 120 2025-01-17 0 3.4 31 20
"18" 4001 20.00361111 -89.7475 120 2025-01-18 NA NA NA NA
"19" 4001 20.00361111 -89.7475 120 2025-01-19 0 NA 33 20
"20" 4001 20.00361111 -89.7475 120 2025-01-20 0 NA 26 20
"21" 4001 20.00361111 -89.7475 120 2025-01-21 0 3.34 31 20
"22" 4001 20.00361111 -89.7475 120 2025-01-22 0 2 23 18
"23" 4001 20.00361111 -89.7475 120 2025-01-23 0 2.27 26 17
"24" 4001 20.00361111 -89.7475 120 2025-01-24 0 2.47 23 17
"25" 4001 20.00361111 -89.7475 120 2025-01-25 NA NA NA NA
"26" 4001 20.00361111 -89.7475 120 2025-01-26 0 NA 29 14
"27" 4001 20.00361111 -89.7475 120 2025-01-27 4.1 NA 33 16
"28" 4001 20.00361111 -89.7475 120 2025-01-28 0 2.86 29 20
"29" 4001 20.00361111 -89.7475 120 2025-01-29 0 3.63 34 19
"30" 4001 20.00361111 -89.7475 120 2025-01-30 2.1 4.61 33 21
"31" 4001 20.00361111 -89.7475 120 2025-01-31 0 2.51 34 22
"32" 4001 20.00361111 -89.7475 120 2025-02-01 NA NA NA NA
"33" 4001 20.00361111 -89.7475 120 2025-02-03 0 NA NA NA
"34" 4001 20.00361111 -89.7475 120 2025-02-04 0 4.86 33 21
"35" 4001 20.00361111 -89.7475 120 2025-02-05 0 2.97 33 21
"36" 4001 20.00361111 -89.7475 120 2025-02-06 0 4.78 30 21
"37" 4001 20.00361111 -89.7475 120 2025-02-07 0 4.25 33 19
"38" 4001 20.00361111 -89.7475 120 2025-02-08 NA NA NA NA
"39" 4001 20.00361111 -89.7475 120 2025-02-09 0 NA 34 21
"40" 4001 20.00361111 -89.7475 120 2025-02-10 0 NA 32 21
"41" 4001 20.00361111 -89.7475 120 2025-02-11 0 5.59 33 20
"42" 4001 20.00361111 -89.7475 120 2025-02-12 0 4.9 33 22
"43" 4001 20.00361111 -89.7475 120 2025-02-13 0 5.62 36 23
"44" 4001 20.00361111 -89.7475 120 2025-02-14 0 4.2 29 22
"45" 4001 20.00361111 -89.7475 120 2025-02-15 NA NA NA NA
"46" 4001 20.00361111 -89.7475 120 2025-02-16 87.3 NA 33 21.5
"47" 4001 20.00361111 -89.7475 120 2025-02-17 0 NA 29 20
"48" 4001 20.00361111 -89.7475 120 2025-02-18 0 3.99 33 21
"49" 4001 20.00361111 -89.7475 120 2025-02-19 1.5 2.95 32 21
"50" 4001 20.00361111 -89.7475 120 2025-02-20 8 2.51 27 21
"51" 4001 20.00361111 -89.7475 120 2025-02-21 0.1 0.72 30 21
"52" 4001 20.00361111 -89.7475 120 2025-02-22 NA NA NA NA
"53" 4001 20.00361111 -89.7475 120 2025-02-23 0 NA 31 19
"54" 4001 20.00361111 -89.7475 120 2025-02-24 0 NA 27 21
"55" 4001 20.00361111 -89.7475 120 2025-02-25 0 6.36 29 14
"56" 4001 20.00361111 -89.7475 120 2025-02-26 0 3.96 33 13
"57" 4001 20.00361111 -89.7475 120 2025-02-27 0 5.44 33 17
"58" 4001 20.00361111 -89.7475 120 2025-02-28 0 3.85 32 17
"59" 4001 20.00361111 -89.7475 120 2025-03-01 NA NA NA NA
"60" 4001 20.00361111 -89.7475 120 2025-03-02 0 NA 33 19
"61" 4001 20.00361111 -89.7475 120 2025-03-03 0 NA NA NA
"62" 4001 20.00361111 -89.7475 120 2025-03-04 0 6.28 34 21
"63" 4001 20.00361111 -89.7475 120 2025-03-05 0 4.81 32 21
