"ID" "latitud" "longitud" "altitud" "prec" "evap" "tmax" "tmin" "easting" "northing"
9004 19.20305556 -99.14916667 2726 0 NA 16.5 6.5 484319.351856349 2123302.06234465
9010 19.4125 -99.20166667 2271 1.9 NA 25 3 478827.420187644 2146483.07369789
9014 19.30333333 -99.14805556 2256 0 NA 23 10 484445.608311119 2134397.81095105
9043 19.46527778 -99.07916667 2240 2 1.44 24 8.5 491691.146715833 2152312.62653449
9071 19.33388889 -99.13222222 2250 0 NA 28 9 486111.607887456 2137777.49553077
13011 21.15361111 -98.38916667 126 NA NA NA NA 563418.898201484 2339270.3518319
13013 20.47972222 -99.22388889 1702 0 NA 21 7 476651.772044457 2264584.77734507
13018 20.22944444 -99.21527778 2004 0 NA 26 8 477513.586608693 2236886.56756968
13022 20.08777778 -98.74972222 2425 0 NA 22.5 7.6 526165.885538066 2221214.4737749
13041 20.08416667 -98.3575 2207 0 NA 22.2 7.6 567174.147819178 2220924.57706489
13042 20.64055556 -98.65527778 1969 6 NA 14 6 535911.804398036 2282405.85447465
13063 20.42111111 -99.23111111 1767 0 4.09 25.8 10.8 475889.459132745 2258099.54525965
13075 19.99 -99.33222222 2061 0.01 0.51 24 8 465245.474814388 2210409.15386445
13077 20.59694444 -98.76583333 1316 0 NA 24 13 524401.448526494 2277558.96634434
13080 20.155 -99.355 2035 0 NA 27 7 462901.445294981 2228673.35953998
13081 20.44055556 -99.37416667 1876 0 NA 22 7 460970.040430087 2260278.91438879
13084 19.96388889 -99.31194444 2123 0 NA 26 7 467361.421740141 2207515.59609923
13090 20.19027778 -99.25472222 1993 0 3.28 24 6 473386.819905197 2232558.09217641
13092 20.05666667 -99.34833333 2045 0 NA 23 6 463575.396700014 2217790.0344364
13122 20.37388889 -99.32638889 1954 0 NA 22 6 465939.210813744 2252890.50660586
13135 21.01944444 -98.34805556 168 0 NA 26 15.5 567748.126047077 2324437.86538409
13144 20.46222222 -98.07472222 424 3.9 NA 23 14 596506.432719876 2262904.59645371
13145 21.17138889 -98.59805556 173 0.2 NA 21.5 17 541725.990513365 2341168.76727036
13161 19.83666667 -99.38361111 2235 0 NA 29 7 459830.813442249 2193452.63853983
15010 19.46222222 -99.77555556 2557 0 3.19 22 4 418598.942848153 2152156.17267372
15013 19.53416667 -99.23944444 2290 7.7 3 22 8 474879.947443275 2159951.08417779
15020 19.25833333 -98.89583333 2240 0 NA 25 5 510946.505712434 2129415.14694813
15024 19.88583333 -99.555 2490 0 NA 22 1 441901.655055711 2198943.41949186
15028 19.90861111 -99.12638889 2229 3 NA 24 4 486771.43991897 2201373.23291184
15029 19.86166667 -99.9175 2449 0 2.93 25 3.5 403937.962962828 2196434.79081165
15044 19.57611111 -98.91388889 2250 4.3 NA 22 8 509031.540939 2164577.14861134
15047 19.56277778 -99.21583333 2270 4.5 NA 23 9 477360.982950766 2163113.75701652
15059 19.4775 -99.22083333 2265 4 NA 21 10 476824.37215181 2153678.0370938
15073 19.62333333 -99.28222222 2310 0 3.6 19 8 470408.402131954 2169824.72767267
15074 19.695 -99.30166667 2300 3 2.51 23 5 468383.643398546 2177758.63375307
15076 19.6625 -99.95777778 2564 0 4.51 20.5 7 399595.99881215 2174416.65285953
15078 19.825 -99.79083333 2718 0 3.4 23 2 417181.625308348 2192309.84819324
15083 19.53194444 -98.91055556 2244 7.1 2.39 23.5 9 509383.702402641 2159690.08287378
15085 19.52444444 -99.74138889 2587 0 1.41 21 2 422214.914792626 2159025.92733547
15086 19.47611111 -99.71444444 2560 0 1.87 24 4 425019.726662346 2153665.32920635
15094 19.19027778 -98.87083333 2285 0 3.36 22 6.5 513579.259947452 2121886.51652665
15095 19.49527778 -99.36777778 2755 0 2.3 18 8 461407.184136825 2155671.65835012
15099 19.76333333 -99.04388889 2250 13.5 2.2 27 6 495402.169993307 2185292.71615141
15118 19.05805556 -100.0530556 1882 0 1.17 28 7 389199.564619491 2107583.69221634
15126 19.29111111 -99.71416667 2726 0 2.84 24.2 5.3 424964.185158905 2133193.26252206
15145 19.45055556 -98.93166667 2260 2 5.8 22.5 8 507172.49840548 2150683.0754019
15153 19.57222222 -99.28694444 2410 0 NA 23 4 469903.763532754 2164169.79681504
15167 19.44333333 -98.90277778 2256 0 2.27 24 8 510205.227838664 2149885.37053702
